College Code,College Name
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025"
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025"
3,"University Departments of Anna University, Chennai - SAP Campus, Sardar Patel Road, Guindy, Chennai 600 025"
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044"
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore"
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002"
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013"
2369,"Government College of Engineering, Chettikkarai Post, Dharmapuri District 635704"
2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104"
2615,"Government College of Engineering (Autonomous), Salem District 636011"
2709,"Government Engineering College, Erode District 638316"
3464,"Government College of Engineering, Gandarvakottai Road, Sengipatti, Thanjavur District 613402"
3465,"Government College of Engineering, Srirangam, Sethurappatti, Tiruchirappalli District 620012"
4974,"Government College of Engineering, Tirunelveli District 627007"
5009,"Government College of Engineering, Melachokkanathapuram, Bodinayakkanur, Theni District 625582"
5901,"Alagappa Chettiar Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004"
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004"
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014"
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015"
1321,"Central Institute of Plastics Engineering and Technology (CIPET), Guindy, Chennai 600032"
2343,"Indian Institute of Handloom Technology, Foulke's Compound, Thillai Nagar, Salem District 636001"
5012,"Central Electrochemical Research Institute CECRI), Karaikudi, Sivagangai District 630006"
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103"
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001"
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326"
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552"
2025,"Anna University Regional Campus- Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046"
3011,"University College of Engineering, Tiruchirappalli, (Bharathidasan Institute of Technology), Tiruchirappalli District 620024"
3016,"University College of Engineering, Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur District 621704"
3018,"University College of Engineering, Thirukkuvalai, Nagappattinam District 610204"
3019,"University College of Engineering, Panruti, Chennai-Kumbakonam Highway, Panikkankuppam, Panruti, Cuddalore District 607106"
3021,"University College of Engineering, Pattukkottai, ECR Road, Rajamadam, Pattukkottai Taluk, Thanjavur District 614701"
4020,"Anna University Regional Campus - Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli District 627007"
4023,"University College of Engineering, Nagercoil, Nagercoil Industrial Estate, Konam, Kanyakumari District 629004"
4024,"University V.O.C. College of Engineering, Thoothukudi, Near V.O.C. College, Millerpuram, Thoothukudi District 628008"
5010,"Anna University Regional Campus- Madurai, Kanyakumari National Highway, Keelakuilkudi, Madurai District 625019"
5017,"University College of Engineering, Ramanathapuram, Pullangudi, Ramanathapuram District 623513"
5022,"University College of Engineering, Dindigul, Mangarai Pirivu, Reddiyarchathiram, Dindigul District 624622"
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055"
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024"
